trip_id,driver_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,distance_miles,duration,avg_speed,max_speed,hard_brakes,time_of_day,weather,claim
41,DRIVER-19,2025-09-12 01:56:10.288723,2025-09-12 02:43:10.288723,40.66332649002344,-74.15814284595903,40.88209355838677,-74.17316776471665,12.7,47,37.7,81.9,0,night,rain,0
42,DRIVER-24,2025-09-05 21:49:08.224065,2025-09-05 23:14:08.224065,40.61593082539644,-73.81026878672148,40.77375009457511,-73.71911440695447,39.0,85,38.3,61.0,0,morning,clear,0
43,DRIVER-42,2025-09-07 11:58:34.620909,2025-09-07 13:09:34.620909,40.92499774637876,-73.81814445682916,40.72674759389361,-73.76156783604517,44.0,71,41.1,64.3,4,night,fog,1
44,DRIVER-44,2025-09-11 18:12:21.493921,2025-09-11 18:55:21.493921,40.84008234163244,-74.06978245661465,40.76958263819266,-73.98071934990459,7.1,43,20.6,60.6,2,evening,snow,0
45,DRIVER-13,2025-09-11 23:19:27.175279,2025-09-11 23:47:27.175279,40.56360766754607,-74.14124956804034,40.94504797670322,-74.17304642741739,67.5,28,31.9,72.4,1,evening,storm,0
46,DRIVER-10,2025-09-11 07:57:39.799726,2025-09-11 09:13:39.799726,40.581485790612334,-73.80922690842456,40.92389448463781,-74.11121785984612,9.1,76,34.9,65.4,2,afternoon,fog,0
47,DRIVER-23,2025-09-11 05:20:46.721519,2025-09-11 06:20:46.721519,40.83714562691021,-74.12226941354945,40.76275251706751,-73.8927539517223,37.0,60,46.6,51.2,0,morning,fog,0
48,DRIVER-37,2025-09-09 06:15:12.198073,2025-09-09 06:46:12.198073,40.77484103335081,-73.81023240288533,40.70622813704582,-74.10775465969067,35.5,31,50.9,59.8,0,night,fog,0
49,DRIVER-43,2025-09-11 15:18:30.222200,2025-09-11 15:28:30.222200,40.71137860025942,-74.04866671834745,40.81346760789422,-74.05551245634614,74.7,10,20.2,59.1,4,night,rain,1
50,DRIVER-14,2025-09-10 00:59:56.880476,2025-09-10 01:41:56.880476,40.91567643856764,-74.15628478368417,40.61452073293805,-74.16282048001726,12.2,42,45.7,83.3,3,morning,fog,0
51,DRIVER-46,2025-09-07 09:20:39.115872,2025-09-07 10:39:39.115872,40.98315862782493,-73.92493321703449,40.7337169331146,-73.9393989635885,50.8,79,68.6,74.9,3,night,snow,1
52,DRIVER-29,2025-09-10 16:19:28.694591,2025-09-10 17:29:28.694591,40.97657750850918,-74.1378572048456,40.952071301963485,-74.0576212120252,21.6,70,56.1,73.7,2,night,storm,0
53,DRIVER-14,2025-09-06 02:46:38.574603,2025-09-06 04:16:38.574603,40.871499817748834,-73.9800945405201,40.60968769217733,-74.0711574426835,30.0,90,43.5,71.7,4,night,snow,1
54,DRIVER-9,2025-09-06 00:29:25.356474,2025-09-06 00:52:25.356474,40.72239441063867,-73.76806693753657,40.59105583564482,-73.83354348245783,18.5,23,54.2,90.0,4,morning,clear,1
55,DRIVER-25,2025-09-08 16:52:41.651419,2025-09-08 18:28:41.651419,40.81549697261346,-74.14728191761812,40.94767376737926,-74.07058067955569,6.1,96,39.4,53.1,1,night,fog,0
56,DRIVER-40,2025-09-11 03:11:04.339388,2025-09-11 04:29:04.339388,40.501058151655926,-73.8661320015107,40.86857221201539,-73.75586578268205,72.9,78,66.6,59.8,2,night,clear,0
57,DRIVER-34,2025-09-12 16:40:26.537006,2025-09-12 17:22:26.537006,40.85064227474358,-73.80232551076132,40.89541388066535,-73.77509590333605,56.4,42,45.2,63.4,1,night,fog,0
58,DRIVER-39,2025-09-06 03:39:44.302004,2025-09-06 04:06:44.302004,40.77617313977199,-73.89302767581802,40.92686724156739,-73.76343885565794,81.9,27,51.0,67.6,2,morning,clear,0
59,DRIVER-50,2025-09-07 10:59:45.886646,2025-09-07 12:03:45.886646,40.81794971321876,-73.95132675774833,40.60480164191316,-74.01571594250728,23.2,64,59.4,53.9,0,morning,rain,0
60,DRIVER-17,2025-09-07 17:43:10.164929,2025-09-07 18:12:10.164929,40.52409701233688,-73.93886882454153,40.91871767606291,-73.92415727054411,74.3,29,23.7,77.1,4,afternoon,snow,1
61,DRIVER-8,2025-09-08 14:53:10.814210,2025-09-08 15:54:10.814210,40.67042880872295,-74.06192758775435,40.86226144314142,-74.05536537192494,82.4,61,63.3,67.2,4,evening,rain,1
62,DRIVER-44,2025-09-08 01:32:31.865812,2025-09-08 02:59:31.865812,40.80039007733552,-74.06463218384579,40.782783347931215,-73.78675015882153,9.9,87,61.9,74.9,2,night,storm,0
63,DRIVER-3,2025-09-10 04:25:18.108233,2025-09-10 05:54:18.108233,40.86706169117873,-74.01675462200097,40.979768507923765,-73.99976147938058,69.2,89,45.1,80.3,4,night,fog,1
64,DRIVER-46,2025-09-05 22:14:17.967680,2025-09-05 23:24:17.967680,40.58198384536499,-74.07555400804998,40.87552198917557,-73.9171791417779,52.0,70,63.9,61.1,0,evening,rain,0
65,DRIVER-38,2025-09-07 17:52:09.741242,2025-09-07 18:23:09.741242,40.83761897021307,-73.72086893719603,40.7522576964901,-73.87848134282065,53.1,31,30.7,52.9,2,afternoon,rain,0
66,DRIVER-23,2025-09-08 01:55:19.193632,2025-09-08 03:07:19.193632,40.55479003290046,-74.00554757663092,40.6792549566687,-74.15281915155926,30.0,72,32.8,60.1,0,evening,storm,0
67,DRIVER-8,2025-09-08 19:12:22.884546,2025-09-08 20:17:22.884546,40.87789245378448,-74.06512219336517,40.83311039495487,-74.1591169641921,42.0,65,36.7,87.0,1,night,fog,0
68,DRIVER-7,2025-09-08 02:50:28.307854,2025-09-08 04:17:28.307854,40.84236274104502,-73.98910037657757,40.72822491873089,-73.93553070497293,21.7,87,46.3,62.9,2,morning,rain,0
69,DRIVER-43,2025-09-10 16:12:26.015246,2025-09-10 17:50:26.015246,40.72933031831125,-73.72679847020297,40.70989926469285,-73.72086118622738,34.1,98,45.6,82.5,3,afternoon,rain,1
70,DRIVER-23,2025-09-07 22:14:58.532639,2025-09-07 23:01:58.532639,40.58069028464594,-73.81725730985612,40.91231044028586,-73.91587386225365,18.2,47,43.8,84.2,2,night,clear,0
71,DRIVER-33,2025-09-12 03:18:13.359533,2025-09-12 03:43:13.359533,40.940135229082586,-73.89586708053262,40.86654197956574,-73.9028808067475,46.3,25,61.8,88.0,4,evening,rain,1
72,DRIVER-16,2025-09-12 02:32:45.693017,2025-09-12 03:52:45.693017,40.59335090471727,-74.18894686944226,40.99536262610736,-73.83017130824136,76.0,80,56.8,67.0,3,evening,snow,1
73,DRIVER-47,2025-09-08 12:24:13.932004,2025-09-08 13:26:13.932004,40.75891233610871,-73.7928843247639,40.68281636784433,-74.05029128110539,79.4,62,35.8,87.2,4,afternoon,rain,1
74,DRIVER-35,2025-09-09 09:55:02.651469,2025-09-09 11:14:02.651469,40.6325889121457,-73.98663112000682,40.90597355594211,-73.77692685009436,42.4,79,46.6,85.1,3,evening,fog,0
75,DRIVER-1,2025-09-12 08:42:50.680073,2025-09-12 09:37:50.680073,40.81211736494161,-73.87021339173891,40.916743884893386,-74.11593100189799,11.5,55,69.7,53.4,1,afternoon,fog,0
76,DRIVER-1,2025-09-06 11:53:34.728377,2025-09-06 12:03:34.728377,40.51718331502886,-73.77186353735944,40.8461803969946,-74.0323066463197,16.0,10,30.0,88.1,4,evening,storm,1
77,DRIVER-31,2025-09-09 07:05:04.861640,2025-09-09 08:09:04.861640,40.78906301289424,-74.1131847308128,40.583519082396776,-73.82932149736253,21.2,64,33.5,54.9,2,afternoon,clear,0
78,DRIVER-19,2025-09-09 06:00:20.216757,2025-09-09 06:36:20.216757,40.723917044629246,-73.99495566924631,40.6800909988453,-73.99907660950576,83.4,36,26.0,65.6,2,afternoon,fog,0
79,DRIVER-8,2025-09-06 16:38:32.818451,2025-09-06 18:02:32.818451,40.64083878449735,-73.81235725987895,40.774838629928766,-73.86620112505928,42.3,84,39.7,89.6,1,morning,rain,0
80,DRIVER-45,2025-09-09 08:39:03.738713,2025-09-09 10:16:03.738713,40.59663806077515,-74.02932398237385,40.87942876147442,-73.77613649205693,38.1,97,47.7,55.6,2,afternoon,snow,0
81,DRIVER-15,2025-09-08 15:16:05.047250,2025-09-08 16:31:05.047250,40.86788801856147,-73.95690050113299,40.70252682404397,-73.81631751799993,47.9,75,53.9,51.2,4,afternoon,snow,1
82,DRIVER-23,2025-09-07 02:15:22.672932,2025-09-07 03:42:22.672932,40.78987293765835,-74.00612941962403,40.5131076826716,-74.06110514808778,10.2,87,66.9,77.3,0,evening,snow,1
83,DRIVER-8,2025-09-05 20:20:21.974994,2025-09-05 21:35:21.974994,40.97779840933969,-74.00430138990384,40.76517560986232,-73.88972570704843,35.2,75,31.6,63.7,4,afternoon,clear,1
84,DRIVER-7,2025-09-06 07:53:38.175027,2025-09-06 09:18:38.175027,40.89936490822963,-73.86848014844406,40.56114386542231,-73.96249191606347,80.3,85,38.5,59.3,2,night,fog,0
85,DRIVER-9,2025-09-09 05:04:42.151460,2025-09-09 05:41:42.151460,40.7559459167606,-74.13289115092294,40.95866608456341,-73.94720854450816,47.5,37,23.9,82.7,2,afternoon,storm,0
86,DRIVER-47,2025-09-07 00:12:49.351178,2025-09-07 00:30:49.351178,40.96823302077421,-74.11170754575296,40.935344656715785,-73.83205308400895,48.3,18,65.4,79.6,2,night,fog,0
87,DRIVER-29,2025-09-08 11:16:49.098922,2025-09-08 11:28:49.098922,40.80753905905448,-73.91681602164904,40.95323056270658,-73.80570773386671,47.7,12,26.9,75.6,3,morning,fog,0
88,DRIVER-21,2025-09-06 23:20:16.888060,2025-09-06 23:55:16.888060,40.80999436584575,-74.0878932512454,40.79432833868973,-74.08820852448103,77.1,35,32.1,82.8,0,night,snow,0
89,DRIVER-1,2025-09-10 01:44:25.684425,2025-09-10 02:15:25.684425,40.80831018328168,-74.11982033720876,40.87852911079576,-74.19749739353276,23.2,31,49.6,62.9,3,morning,snow,1
90,DRIVER-44,2025-09-12 01:44:35.861126,2025-09-12 02:13:35.861126,40.58039682930032,-74.16099500893381,40.51745329811622,-74.16476999978326,78.8,29,45.8,52.1,3,afternoon,fog,0
91,DRIVER-26,2025-09-12 16:17:43.223187,2025-09-12 17:19:43.223187,40.65105045743815,-73.77812349799744,40.8347343188344,-74.06811936361456,80.5,62,51.2,59.8,1,night,rain,0
92,DRIVER-16,2025-09-11 22:03:31.955747,2025-09-11 22:16:31.955747,40.57209697232145,-73.90820440565606,40.78635242420462,-73.98041902156812,30.7,13,50.9,87.2,4,night,fog,1
93,DRIVER-29,2025-09-06 21:19:15.897470,2025-09-06 22:06:15.897470,40.566032571181005,-73.97846139412715,40.98989665400401,-73.72905108840841,20.6,47,45.1,74.1,1,morning,fog,0
94,DRIVER-31,2025-09-07 00:35:33.169899,2025-09-07 02:02:33.169899,40.75939607638179,-73.78636185259433,40.74017823402629,-73.77230960027403,55.2,87,33.4,85.5,3,evening,storm,0
95,DRIVER-32,2025-09-11 09:16:51.646471,2025-09-11 10:53:51.646471,40.7346615681101,-73.79135911839262,40.78823939533002,-73.85922810201662,47.4,97,66.3,51.5,4,evening,rain,1
96,DRIVER-17,2025-09-07 03:31:09.067654,2025-09-07 05:00:09.067654,40.65280601851319,-73.95052151170918,40.61128131681965,-73.83529958482481,26.2,89,38.6,86.5,2,morning,rain,0
97,DRIVER-1,2025-09-07 15:44:10.294456,2025-09-07 16:03:10.294456,40.582147750514736,-73.97320819017591,40.87703254737145,-74.147199494352,34.4,19,44.0,57.1,0,night,fog,0
98,DRIVER-16,2025-09-10 09:42:38.022672,2025-09-10 10:22:38.022672,40.68295256775273,-73.9465154325977,40.99116113427365,-73.72518129735427,38.1,40,31.9,88.2,0,afternoon,rain,0
99,DRIVER-34,2025-09-09 22:09:23.887597,2025-09-09 22:54:23.887597,40.8698939516079,-73.92741385993983,40.72318384238724,-74.07892509881123,42.6,45,47.1,89.1,0,morning,storm,0
100,DRIVER-28,2025-09-09 12:36:52.371263,2025-09-09 13:56:52.371263,40.81988720482521,-73.754795038286,40.99016054269592,-73.71785371945876,50.8,80,20.1,73.3,2,afternoon,snow,0
101,DRIVER-16,2025-09-06 22:10:30.972964,2025-09-06 23:17:30.972964,40.56486380447436,-74.18780581758679,40.8956605946173,-74.18181155965394,41.2,67,24.8,55.9,2,afternoon,storm,0
102,DRIVER-47,2025-09-05 20:30:16.381824,2025-09-05 21:41:16.381824,40.68073724290032,-73.74491826020828,40.72962135110771,-73.72728452565883,19.7,71,66.2,51.4,0,morning,storm,0
103,DRIVER-42,2025-09-11 02:37:17.159416,2025-09-11 03:00:17.159416,40.596816088614304,-74.17061408141267,40.6924048306538,-74.09773788826928,27.4,23,29.8,77.6,4,evening,clear,1
104,DRIVER-29,2025-09-10 17:55:07.047781,2025-09-10 18:45:07.047781,40.893474114726686,-74.03988184223734,40.85257632048343,-73.80093552986757,17.4,50,28.2,89.1,3,morning,snow,1
105,DRIVER-22,2025-09-12 12:19:33.934713,2025-09-12 12:52:33.934713,40.81649724147768,-73.84478271076743,40.65645147988169,-73.8108050258673,42.7,33,58.4,85.9,4,evening,snow,1
106,DRIVER-46,2025-09-08 09:15:37.233171,2025-09-08 10:41:37.233171,40.66265787348646,-73.89538350403208,40.86428315033639,-73.88592922704316,44.1,86,63.4,83.4,2,morning,fog,0
107,DRIVER-19,2025-09-06 11:43:23.235641,2025-09-06 13:10:23.235641,40.836426055981214,-73.9584762081745,40.54958744266458,-73.92279226710275,13.6,87,25.8,85.8,3,night,snow,1
108,DRIVER-10,2025-09-09 03:36:06.583865,2025-09-09 04:31:06.583865,40.5983896332198,-74.1340679227064,40.506634215798826,-73.76796030223421,84.1,55,55.6,71.4,3,morning,snow,1
109,DRIVER-29,2025-09-07 00:30:57.673989,2025-09-07 00:48:57.673989,40.7030073406056,-73.88401114903542,40.91510804440759,-73.78892527651159,79.8,18,55.5,66.7,0,evening,clear,0
110,DRIVER-40,2025-09-08 19:08:41.302585,2025-09-08 20:20:41.302585,40.96524289434584,-73.702796563828,40.77937125874361,-73.8084628694633,72.3,72,27.9,71.5,2,evening,rain,0
111,DRIVER-46,2025-09-09 04:51:25.390318,2025-09-09 05:53:25.390318,40.943000479935776,-73.93456484707289,40.75121715457705,-73.73754005075263,42.3,62,69.2,56.7,1,evening,storm,0
112,DRIVER-20,2025-09-10 20:06:01.615342,2025-09-10 20:30:01.615342,40.84530383763996,-73.93694037993208,40.95501156175586,-73.90187002804925,7.6,24,43.6,87.8,4,evening,rain,1
113,DRIVER-12,2025-09-09 18:53:27.139519,2025-09-09 20:26:27.139519,40.72294804194041,-74.18916469737823,40.519582725376445,-73.89998902493731,45.2,93,40.1,90.0,2,evening,clear,0
114,DRIVER-49,2025-09-06 19:28:14.819553,2025-09-06 20:41:14.819553,40.60601301535304,-74.12177158745824,40.81991742741087,-74.161145932765,23.5,73,39.7,65.4,0,night,clear,0
115,DRIVER-1,2025-09-11 14:02:08.950410,2025-09-11 15:03:08.950410,40.5694977305265,-74.02479251852498,40.93246022257224,-74.11652164325974,61.7,61,35.0,85.9,2,afternoon,snow,0
116,DRIVER-4,2025-09-09 10:23:35.214587,2025-09-09 12:00:35.214587,40.63386421837093,-74.05275566849133,40.814144101824525,-74.1023486071391,60.8,97,40.5,54.6,0,morning,snow,0
117,DRIVER-28,2025-09-07 00:40:44.944044,2025-09-07 01:37:44.944044,40.69388388010396,-73.82343444646813,40.75834512278654,-73.71195301648339,61.5,57,25.8,84.8,4,evening,snow,1
118,DRIVER-17,2025-09-07 06:32:39.330964,2025-09-07 08:05:39.330964,40.63022269519045,-74.15991494616868,40.864623960687794,-74.12119634306342,79.3,93,57.5,70.3,0,night,rain,0
119,DRIVER-35,2025-09-11 03:26:19.292521,2025-09-11 04:31:19.292521,40.9651217692433,-74.0252774370298,40.92555977776183,-73.99545266537024,31.9,65,55.4,67.4,3,morning,fog,0
120,DRIVER-32,2025-09-09 09:56:27.449783,2025-09-09 10:10:27.449783,40.72386263014711,-73.93362285053881,40.84817464833092,-73.70063704434033,31.9,14,23.1,74.8,1,night,storm,0
121,DRIVER-45,2025-09-07 08:57:38.841801,2025-09-07 09:17:38.841801,40.621719794865854,-73.86050389839035,40.78350695774835,-73.77439855665753,55.7,20,66.8,63.0,3,afternoon,fog,0
122,DRIVER-4,2025-09-10 05:06:31.583502,2025-09-10 05:35:31.583502,40.703654781803685,-73.78247960660661,40.80229146731985,-73.80119871276182,34.9,29,48.9,59.3,3,night,clear,0
123,DRIVER-34,2025-09-11 04:34:46.210011,2025-09-11 06:04:46.210011,40.52898132407445,-73.77550923997215,40.75665454049764,-74.19011777896011,6.2,90,46.2,63.1,2,afternoon,fog,0
124,DRIVER-34,2025-09-09 11:35:01.836752,2025-09-09 11:51:01.836752,40.61352591184794,-73.86437180887576,40.53435327171168,-73.75539159006881,21.8,16,69.1,51.6,3,evening,fog,0
125,DRIVER-35,2025-09-09 06:34:27.382345,2025-09-09 07:16:27.382345,40.51719569334093,-73.82219547625701,40.58738501625979,-73.9240186945244,77.8,42,31.5,69.8,4,morning,rain,1
126,DRIVER-14,2025-09-09 02:12:29.531636,2025-09-09 02:38:29.531636,40.86147067035159,-73.97098863424878,40.81807573489407,-74.01687378854491,8.9,26,50.1,66.0,1,morning,clear,0
127,DRIVER-46,2025-09-08 02:00:22.851628,2025-09-08 02:28:22.851628,40.5951710492957,-74.02888547656897,40.61656184586359,-73.86146529203039,8.8,28,62.8,85.7,0,evening,storm,0
128,DRIVER-33,2025-09-12 16:56:59.807489,2025-09-12 17:40:59.807489,40.90074692531036,-73.96605961637297,40.9615291734542,-74.15985356543777,20.5,44,37.8,76.7,3,afternoon,fog,0
129,DRIVER-12,2025-09-11 18:07:38.654497,2025-09-11 18:45:38.654497,40.522530540272925,-74.02005788282707,40.636931442665606,-74.17059300755314,10.7,38,56.1,67.2,4,afternoon,clear,1
130,DRIVER-43,2025-09-06 23:38:08.465195,2025-09-07 00:24:08.465195,40.54272472899439,-73.72650382597344,40.646893392558326,-73.79974206864348,32.5,46,22.7,87.6,0,evening,fog,0
131,DRIVER-47,2025-09-07 05:13:40.262395,2025-09-07 06:38:40.262395,40.72812343727215,-74.16693574290699,40.68748978309218,-74.11140359617548,57.3,85,41.6,89.8,4,night,storm,1
132,DRIVER-49,2025-09-06 08:35:48.408841,2025-09-06 08:53:48.408841,40.96368563294881,-73.70252332114026,40.89667098073684,-73.75834215103086,76.4,18,65.1,77.1,3,afternoon,clear,0
133,DRIVER-33,2025-09-10 13:40:24.531756,2025-09-10 14:11:24.531756,40.77871517245686,-73.9900683641857,40.69638886285024,-74.06230936959926,57.1,31,56.0,82.1,3,afternoon,fog,0
134,DRIVER-38,2025-09-09 05:49:41.960955,2025-09-09 06:31:41.960955,40.6883775271648,-74.11742529311924,40.97301119115343,-74.10039546704763,19.6,42,49.3,52.1,2,night,storm,0
135,DRIVER-7,2025-09-08 15:23:04.316764,2025-09-08 16:36:04.316764,40.85111139274184,-74.05044480397531,40.55063984893758,-73.86752294631336,55.6,73,34.7,51.6,0,night,snow,0
136,DRIVER-23,2025-09-11 11:54:02.995127,2025-09-11 12:24:02.995127,40.86340404112495,-74.18474163962175,40.86851426438199,-73.76411179868525,37.9,30,67.7,62.9,3,afternoon,rain,1
137,DRIVER-11,2025-09-12 04:29:59.195284,2025-09-12 05:40:59.195284,40.51440812673654,-73.9141203182031,40.83135168501098,-73.9121545562316,15.7,71,43.0,50.8,3,evening,storm,0
138,DRIVER-40,2025-09-11 15:17:02.721572,2025-09-11 16:33:02.721572,40.63688210128475,-73.84802579427836,40.53365507572339,-74.01550201990085,17.9,76,65.0,89.4,4,night,clear,1
